Stock Name,Symbol
HINDALCO  INDUSTRIES  LTD,HINDALCO-EQ
SKY GOLD AND DIAMONDS LTD,SKYGOLD-EQ
JM FINANCIAL LIMITED,JMFINANCIL-EQ
ELECON ENG. CO. LTD,ELECON-EQ
TALBROS AUTO. COMP. LTD,TALBROAUTO-EQ
ALICON CASTALLOY LIMITED,ALICON-EQ
GEECEE VENTURES LIMITED,GEECEE-EQ
ALLCARGO GATI LIMITED,ACLGATI-EQ
VISHWARAJ SUGAR IND LTD,VISHWARAJ-EQ
FIEM INDUSTRIES LIMITED,FIEMIND-EQ
HINDUSTAN COMPOSITES LTD.,HINDCOMPOS-EQ
JHS SVEND. LAB. LTD,JHS-EQ
DCB BANK LIMITED,DCBBANK-EQ
INSPIRISYS SOLUTIONS LTD,INSPIRISYS-EQ
GLOBAL VEC HELICORP LTD,GLOBALVECT-EQ
SHYAM TELECOM LIMITED,SHYAMTEL-EQ
GTL INFRA.LTD,GTLINFRA-EQ
GUJARAT FLUOROCHEM LTD,FLUOROCHEM-EQ
INFO EDGE (I) LTD,NAUKRI-EQ
MANOMAY TEX INDIA LTD,MANOMAY-EQ
SHIVAM AUTO.LTD,SHIVAMAUTO-EQ
BHARAT BIJLEE LTD,BBL-EQ
THE GE SHPG.LTD,GESHIP-EQ
TORRENT POWER LTD,TORNTPOWER-EQ
PARSVNATH DEVELOPER LTD,PARSVNATH-EQ
BAID FINSERV LIMITED,BAIDFIN-EQ
MANALI PETROCHEMICALS LT,MANALIPETC-EQ
GREENPANEL INDUSTRIES LTD,GREENPANEL-EQ
LT FOODS LIMITED,LTFOODS-EQ
RUCHIRA PAPERS LIMITED,RUCHIRA-EQ
SOBHA LIMITED,SOBHA-EQ
DONEAR IND. LIMITED,DONEAR-EQ
MM FORGINGS LTD,MMFL-EQ
AARTI PHARMALABS LIMITED,AARTIPHARM-EQ
KUANTUM PAPERS LIMITED,KUANTUM-EQ
JINDAL DRILLING IND. LTD,JINDRILL-EQ
BANCO PRODUCTS (I) LTD,BANCOINDIA-EQ
HIND RECTIFIER LIMITED,HIRECT-EQ
CREST VENTURES LIMITED,CREST-EQ
PLASTIBLENDS INDIA LTD,PLASTIBLEN-EQ
NATIONAL FERT. LTD,NFL-EQ
HINDUSTAN UNILEVER LTD.,HINDUNILVR-EQ
PRAJAY ENG. SYN. LTD.,PRAENG-EQ
PARAMOUNT COMM LTD,PARACABLES-EQ
HBL ENGINEERING LTD,HBLENGINE-EQ
TANLA PLATFORMS LIMITED,TANLA-EQ
JASH ENGINEERING LIMITED,JASH-EQ
ZEE MEDIA CORPORATION LTD,ZEEMEDIA-EQ
AVT NATURAL PRODUCTS LTD,AVTNPL-EQ
LUMAX AUTO TECH LTD,LUMAXTECH-EQ
VEEDOL CORPORATION LTD,VEEDOL-EQ
HINDUSTAN OIL EXPLORATION,HINDOILEXP-EQ
SANGHVI MOVERS LTD,SANGHVIMOV-EQ
HINDUSTAN PETROLEUM CORP,HINDPETRO-EQ
BARTRONICS INDIA LIMITED,ASMS-EQ
SAGAR CEMENTS LIMITED,SAGCEM-EQ
I G PETROCHEMICALS LTD,IGPL-EQ
SIYARAM SILK MILLS LTD,SIYSIL-EQ
PTL ENTERPRISES LTD,PTL-EQ
AUTOLINE INDUSTRIES LTD,AUTOIND-EQ
NETWORK18 MEDIA & INV LTD,NETWORK18-EQ
GANDHI SPL. TUBES LTD,GANDHITUBE-EQ
AGI GREENPAC LIMITED,AGI-EQ
PITTI ENGINEERING LIMITED,PITTIENG-EQ
GLOBAL EDUCATION LIMITED,GLOBAL-EQ
BODHI TREE MULTIMEDIA LTD,BTML-EQ
UNO MINDA LIMITED,UNOMINDA-EQ
NMDC STEEL LIMITED,NSLNISP-EQ
NINTEC SYSTEMS LIMITED,NINSYS-EQ
TIMKEN INDIA LTD.,TIMKEN-EQ
HUBTOWN LIMITED,HUBTOWN-EQ
TECHNOCRAFT IND LTD,TIIL-EQ
HINDUSTAN ZINC LIMITED,HINDZINC-EQ
TVS SRICHAKRA LIMITED,TVSSRICHAK-EQ
REDINGTON LIMITED,REDINGTON-EQ
PEARL GLOBAL IND LIMITED,PGIL-EQ
ORIENT BELL LIMITED,ORIENTBELL-EQ
SEQUENT SCIENTIFIC LTD.,SEQUENT-EQ
POWER FIN CORP LTD.,PFC-EQ
FIRSTSOURCE SOLU. LTD.,FSL-EQ
SHREEOSWAL S AND CHE LTD,OSWALSEEDS-EQ
INDIAN BANK,INDIANB-EQ
SMS PHARMACEUTICALS LTD.,SMSPHARMA-EQ
HIMADRI SPECIALITY CHEM L,HSCL-EQ
GANESH HOUSING CORP LTD,GANESHHOUC-EQ
APOLLO PIPES LIMITED,APOLLOPIPE-EQ
VODAFONE IDEA LIMITED,IDEA-EQ
PONDY OXIDES & CHEM LTD,POCL-EQ
AMD INDUSTRIES LIMITED,AMDIND-EQ
GODREJ AGROVET LIMITED,GODREJAGRO-EQ
PAGE INDUSTRIES LTD,PAGEIND-EQ
ASTRAL LIMITED,ASTRAL-EQ
SANOFI INDIA LIMITED,SANOFI-EQ
LA OPALA RG LIMITED,LAOPALA-EQ
JK TYRE & INDUSTRIES LTD,JKTYRE-EQ
NAHAR SPINNING MILLS LTD.,NAHARSPING-EQ
EMBASSY DEVELOPMENTS LTD,EMBDL-EQ
LEXUS GRANITO (INDIA) LTD,LEXUS-EQ
DIVGI TORQTRANSFER SYST L,DIVGIITTS-EQ
HLV LIMITED,HLVLTD-EQ
GOKUL AGRO RESOURCES LTD,GOKULAGRO-EQ
THEMIS MEDICARE LTD.,THEMISMED-EQ
NCL INDUSTRIES LIMITED,NCLIND-EQ
BALAJI AMINES LIMITED,BALAMINES-EQ
BANSWARA SYNTEX LIMITED,BANSWRAS-EQ
ICRA LIMITED,ICRA-EQ
BIRLANU LIMITED,BIRLANU-EQ
THE PHOENIX MILLS LTD,PHOENIXLTD-EQ
ARO GRANITE IND. LTD.,AROGRANITE-EQ
ZENITH STEEL PIP IND LTD,ZENITHSTL-EQ
BF UTILITIES LIMITED,BFUTILITIE-EQ
SREE RAYALSEEMA HHP LTD.,SRHHYPOLTD-EQ
FORTIS HEALTHCARE LTD,FORTIS-EQ
ALPHAGEO (INDIA) LIMITED,ALPHAGEO-EQ
GLOBAL SURFACES LIMITED,GSLSU-EQ
WEBSOL ENERGY SYSTEM LTD,WEBELSOLAR-EQ
TGB BANQUETS&HOTELS LTD,TGBHOTELS-EQ
ACCURACY SHIPPING LIMITED,ACCURACY-EQ
INSECTICIDES (I) LTD,INSECTICID-EQ
K M SUGAR MILLS LTD,KMSUGAR-EQ
AKZO NOBEL INDIA LIMITED,AKZOINDIA-EQ
NAVIN FLUORINE INT. LTD,NAVINFLUOR-EQ
GUJ. APOLLO IND. LTD.,GUJAPOLLO-EQ
GOA CARBON LIMITED,GOACARBON-EQ
NAGREEKA EXPORTS LTD.,NAGREEKEXP-EQ
TIME TECHNOPLAST LTD.,TIMETECHNO-EQ
HINDUJA GLOBAL SOLS. LTD.,HGS-EQ
DLF LIMITED,DLF-EQ
ADVANI HOT.& RES.(I) LTD,ADVANIHOTR-EQ
IDBI BANK LIMITED,IDBI-EQ
NELCAST LIMITED,NELCAST-EQ
V2 RETAIL LIMITED,V2RETAIL-EQ
TARMAT LIMITED,TARMAT-EQ
SUN PHARMA ADV.RES.CO.LTD,SPARC-EQ
RUDRABHISHEK ENTERP LTD,REPL-EQ
ALLIED DIGITAL SERV. LTD,ADSL-EQ
DECCAN CEMENTS LIMITED,DECCANCE-EQ
